nm	Abs
620.20	0.031
620.00	0.032
619.80	0.033
619.60	0.033
619.40	0.034
619.20	0.034
619.00	0.035
618.80	0.036
618.60	0.037
618.40	0.038
618.20	0.037
618.00	0.038
617.80	0.040
617.60	0.040
617.40	0.041
617.20	0.042
617.00	0.042
616.80	0.042
616.60	0.044
616.40	0.045
616.20	0.045
616.00	0.046
615.80	0.046
615.60	0.049
615.40	0.049
615.20	0.048
615.00	0.051
614.80	0.051
614.60	0.052
614.40	0.053
614.20	0.054
614.00	0.055
613.80	0.055
613.60	0.056
613.40	0.058
613.20	0.059
613.00	0.058
612.80	0.060
612.60	0.062
612.40	0.062
612.20	0.063
612.00	0.063
611.80	0.066
611.60	0.066
611.40	0.065
611.20	0.069
611.00	0.069
610.80	0.070
610.60	0.072
610.40	0.072
610.20	0.073
610.00	0.075
609.80	0.075
609.60	0.077
609.40	0.078
609.20	0.077
609.00	0.080
608.80	0.081
608.60	0.081
608.40	0.084
608.20	0.083
608.00	0.086
607.80	0.087
607.60	0.087
607.40	0.089
607.20	0.090
607.00	0.090
606.80	0.093
606.60	0.093
606.40	0.094
606.20	0.096
606.00	0.097
605.80	0.098
605.60	0.099
605.40	0.099
605.20	0.102
605.00	0.102
604.80	0.103
604.60	0.106
604.40	0.104
604.20	0.108
604.00	0.107
603.80	0.108
603.60	0.111
603.40	0.110
603.20	0.112
603.00	0.113
602.80	0.113
602.60	0.116
602.40	0.116
602.20	0.117
602.00	0.119
601.80	0.118
601.60	0.119
601.40	0.122
601.20	0.121
601.00	0.123
600.80	0.124
600.60	0.124
600.40	0.126
600.20	0.126
600.00	0.127
599.80	0.129
599.60	0.128
599.40	0.129
599.20	0.131
599.00	0.130
598.80	0.132
598.60	0.133
598.40	0.133
598.20	0.135
598.00	0.134
597.80	0.135
597.60	0.137
597.40	0.135
597.20	0.137
597.00	0.138
596.80	0.138
596.60	0.139
596.40	0.138
596.20	0.140
596.00	0.140
595.80	0.140
595.60	0.142
595.40	0.142
595.20	0.141
595.00	0.142
594.80	0.142
594.60	0.143
594.40	0.143
594.20	0.143
594.00	0.144
593.80	0.144
593.60	0.144
593.40	0.144
593.20	0.145
593.00	0.144
592.80	0.145
592.60	0.145
592.40	0.145
592.20	0.145
592.00	0.145
591.80	0.146
591.60	0.145
591.40	0.145
591.20	0.145
591.00	0.145
590.80	0.145
590.60	0.144
590.40	0.145
590.20	0.145
590.00	0.144
589.80	0.144
589.60	0.144
589.40	0.144
589.20	0.144
589.00	0.143
588.80	0.143
588.60	0.143
588.40	0.142
588.20	0.142
588.00	0.141
587.80	0.142
587.60	0.142
587.40	0.140
587.20	0.141
587.00	0.140
586.80	0.139
586.60	0.139
586.40	0.138
586.20	0.139
586.00	0.138
585.80	0.136
585.60	0.138
585.40	0.137
585.20	0.135
585.00	0.136
584.80	0.135
584.60	0.135
584.40	0.134
584.20	0.132
584.00	0.134
583.80	0.132
583.60	0.131
583.40	0.132
583.20	0.130
583.00	0.130
582.80	0.130
582.60	0.128
582.40	0.130
582.20	0.128
582.00	0.127
581.80	0.128
581.60	0.125
581.40	0.126
581.20	0.125
581.00	0.124
580.80	0.124
580.60	0.123
580.40	0.122
580.20	0.123
580.00	0.121
579.80	0.121
579.60	0.120
579.40	0.118
579.20	0.119
579.00	0.118
578.80	0.116
578.60	0.117
578.40	0.116
578.20	0.115
578.00	0.115
577.80	0.114
577.60	0.114
577.40	0.112
577.20	0.112
577.00	0.112
576.80	0.111
576.60	0.110
576.40	0.110
576.20	0.110
576.00	0.109
575.80	0.107
575.60	0.108
575.40	0.107
575.20	0.106
575.00	0.106
574.80	0.105
574.60	0.106
574.40	0.104
574.20	0.104
574.00	0.104
573.80	0.102
573.60	0.103
573.40	0.102
573.20	0.101
573.00	0.101
572.80	0.100
572.60	0.099
572.40	0.099
