nm	Abs
620.20	0.140
620.00	0.142
619.80	0.144
619.60	0.148
619.40	0.149
619.20	0.153
619.00	0.157
618.80	0.158
618.60	0.162
618.40	0.165
618.20	0.166
618.00	0.171
617.80	0.174
617.60	0.178
617.40	0.181
617.20	0.183
617.00	0.188
616.80	0.190
616.60	0.194
616.40	0.199
616.20	0.201
616.00	0.205
615.80	0.209
615.60	0.212
615.40	0.216
615.20	0.220
615.00	0.223
614.80	0.228
614.60	0.230
614.40	0.235
614.20	0.240
614.00	0.242
613.80	0.248
613.60	0.251
613.40	0.255
613.20	0.260
613.00	0.263
612.80	0.268
612.60	0.272
612.40	0.276
612.20	0.282
612.00	0.285
611.80	0.290
611.60	0.295
611.40	0.297
611.20	0.304
611.00	0.308
610.80	0.313
610.60	0.319
610.40	0.322
610.20	0.327
610.00	0.333
609.80	0.336
609.60	0.342
609.40	0.348
609.20	0.351
609.00	0.358
608.80	0.362
608.60	0.367
608.40	0.374
608.20	0.377
608.00	0.384
607.80	0.389
607.60	0.392
607.40	0.399
607.20	0.404
607.00	0.409
606.80	0.415
606.60	0.420
606.40	0.425
606.20	0.431
606.00	0.435
605.80	0.442
605.60	0.446
605.40	0.451
605.20	0.458
605.00	0.462
604.80	0.467
604.60	0.473
604.40	0.477
604.20	0.483
604.00	0.488
603.80	0.492
603.60	0.498
603.40	0.502
603.20	0.508
603.00	0.513
602.80	0.516
602.60	0.523
602.40	0.527
602.20	0.531
602.00	0.538
601.80	0.540
601.60	0.546
601.40	0.551
601.20	0.555
601.00	0.561
600.80	0.565
600.60	0.568
600.40	0.574
600.20	0.577
600.00	0.582
599.80	0.586
599.60	0.589
599.40	0.594
599.20	0.599
599.00	0.601
598.80	0.606
598.60	0.610
598.40	0.613
598.20	0.618
598.00	0.621
597.80	0.624
597.60	0.628
597.40	0.630
597.20	0.634
597.00	0.638
596.80	0.640
596.60	0.644
596.40	0.646
596.20	0.648
596.00	0.652
595.80	0.653
595.60	0.656
595.40	0.659
595.20	0.660
595.00	0.663
594.80	0.665
594.60	0.666
594.40	0.669
594.20	0.669
594.00	0.672
593.80	0.673
593.60	0.674
593.40	0.676
593.20	0.677
593.00	0.677
592.80	0.680
592.60	0.679
592.40	0.680
592.20	0.683
592.00	0.681
591.80	0.683
591.60	0.684
591.40	0.682
591.20	0.684
591.00	0.684
590.80	0.684
590.60	0.685
590.40	0.683
590.20	0.683
590.00	0.685
589.80	0.682
589.60	0.683
589.40	0.682
589.20	0.680
589.00	0.681
588.80	0.680
588.60	0.678
588.40	0.679
588.20	0.677
588.00	0.674
587.80	0.676
587.60	0.672
587.40	0.672
587.20	0.672
587.00	0.668
586.80	0.668
586.60	0.666
586.40	0.664
586.20	0.664
586.00	0.660
585.80	0.659
585.60	0.658
585.40	0.655
585.20	0.653
585.00	0.653
