nm	Abs
700.00	0.002
699.80	0.000
699.60	0.001
699.40	0.002
699.20	0.001
699.00	0.001
698.80	0.001
698.60	0.001
698.40	0.002
698.20	0.001
698.00	0.001
697.80	0.003
697.60	0.000
697.40	0.001
697.20	0.002
697.00	0.001
696.80	0.001
696.60	0.001
696.40	0.002
696.20	0.001
696.00	0.000
695.80	0.002
695.60	0.002
695.40	0.001
695.20	0.001
695.00	0.001
694.80	0.001
694.60	0.002
694.40	0.001
694.20	0.002
694.00	0.001
693.80	0.001
693.60	0.002
693.40	0.001
693.20	0.002
693.00	0.002
692.80	0.000
692.60	0.003
692.40	0.000
692.20	0.002
692.00	0.002
691.80	0.001
691.60	0.002
691.40	0.001
691.20	0.001
691.00	0.001
690.80	0.001
690.60	0.001
690.40	0.001
690.20	0.001
690.00	0.001
689.80	0.001
689.60	0.001
689.40	0.001
689.20	0.001
689.00	0.001
688.80	0.002
688.60	0.001
688.40	0.001
688.20	0.001
688.00	0.001
687.80	0.001
687.60	0.001
687.40	0.002
687.20	0.001
687.00	0.001
686.80	0.001
686.60	0.001
686.40	0.001
686.20	0.000
686.00	0.002
685.80	0.001
685.60	0.001
685.40	0.001
685.20	0.001
685.00	0.001
684.80	0.001
684.60	0.002
684.40	0.001
684.20	0.001
684.00	0.000
683.80	0.002
683.60	0.001
683.40	0.000
683.20	0.002
683.00	0.000
682.80	0.002
682.60	0.001
682.40	0.001
682.20	0.003
682.00	0.000
681.80	0.002
681.60	0.002
681.40	0.000
681.20	0.002
681.00	0.001
680.80	0.001
680.60	0.002
680.40	0.000
680.20	0.001
680.00	0.002
679.80	0.000
679.60	0.002
679.40	0.001
679.20	0.001
679.00	0.002
678.80	0.001
678.60	0.001
678.40	0.002
678.20	0.001
678.00	0.001
677.80	0.001
677.60	0.001
677.40	0.002
677.20	0.001
677.00	0.001
676.80	0.003
676.60	0.001
676.40	0.000
676.20	0.002
676.00	0.001
675.80	0.001
675.60	0.001
675.40	0.001
675.20	0.002
675.00	0.001
674.80	0.001
674.60	0.002
674.40	0.001
674.20	0.002
674.00	0.002
673.80	0.002
673.60	0.002
673.40	0.002
673.20	0.002
673.00	0.002
672.80	0.002
672.60	0.002
672.40	0.002
672.20	0.002
672.00	0.002
671.80	0.002
671.60	0.002
671.40	0.002
671.20	0.003
671.00	0.001
670.80	0.002
670.60	0.003
670.40	0.002
670.20	0.003
670.00	0.002
669.80	0.003
669.60	0.004
669.40	0.001
669.20	0.002
669.00	0.004
668.80	0.002
668.60	0.002
668.40	0.004
668.20	0.002
668.00	0.003
667.80	0.003
667.60	0.002
667.40	0.003
667.20	0.002
667.00	0.002
666.80	0.003
666.60	0.002
666.40	0.003
666.20	0.002
666.00	0.002
665.80	0.003
665.60	0.003
665.40	0.002
665.20	0.002
665.00	0.004
664.80	0.003
664.60	0.003
664.40	0.002
664.20	0.004
664.00	0.003
663.80	0.001
663.60	0.003
663.40	0.002
663.20	0.003
663.00	0.002
662.80	0.002
662.60	0.003
662.40	0.002
662.20	0.002
662.00	0.002
661.80	0.003
661.60	0.002
661.40	0.002
661.20	0.003
661.00	0.001
660.80	0.002
660.60	0.002
660.40	0.001
660.20	0.002
660.00	0.002
659.80	0.002
659.60	0.003
659.40	0.001
659.20	0.002
659.00	0.003
658.80	0.001
658.60	0.002
658.40	0.003
658.20	0.001
658.00	0.002
657.80	0.001
657.60	0.002
657.40	0.002
657.20	0.002
657.00	0.001
656.80	0.003
656.60	0.002
656.40	0.003
656.20	0.002
656.00	0.002
655.80	0.003
655.60	0.002
655.40	0.002
655.20	0.002
655.00	0.003
654.80	0.003
654.60	0.002
654.40	0.003
654.20	0.003
654.00	0.003
653.80	0.003
653.60	0.002
653.40	0.004
653.20	0.002
653.00	0.003
652.80	0.004
652.60	0.002
652.40	0.004
652.20	0.004
652.00	0.002
651.80	0.004
651.60	0.003
651.40	0.003
651.20	0.004
651.00	0.003
650.80	0.003
650.60	0.004
650.40	0.002
650.20	0.004
650.00	0.004
649.80	0.003
649.60	0.005
649.40	0.004
649.20	0.003
649.00	0.005
648.80	0.004
648.60	0.004
648.40	0.005
648.20	0.004
648.00	0.004
647.80	0.004
647.60	0.005
647.40	0.005
647.20	0.004
647.00	0.004
646.80	0.005
646.60	0.005
646.40	0.004
646.20	0.005
646.00	0.005
645.80	0.005
645.60	0.005
645.40	0.005
645.20	0.005
645.00	0.006
644.80	0.005
644.60	0.005
644.40	0.006
644.20	0.005
644.00	0.006
643.80	0.006
643.60	0.005
643.40	0.007
643.20	0.007
643.00	0.006
642.80	0.007
642.60	0.006
642.40	0.007
642.20	0.007
642.00	0.006
641.80	0.009
641.60	0.007
641.40	0.006
641.20	0.010
641.00	0.008
640.80	0.008
640.60	0.009
640.40	0.008
640.20	0.009
640.00	0.009
639.80	0.009
639.60	0.010
639.40	0.009
639.20	0.010
639.00	0.011
638.80	0.010
638.60	0.010
638.40	0.011
638.20	0.011
638.00	0.011
637.80	0.012
637.60	0.012
637.40	0.012
637.20	0.013
637.00	0.013
636.80	0.012
636.60	0.013
636.40	0.013
636.20	0.014
636.00	0.013
635.80	0.013
635.60	0.015
635.40	0.014
635.20	0.014
635.00	0.015
634.80	0.015
634.60	0.016
634.40	0.015
634.20	0.016
634.00	0.016
633.80	0.017
633.60	0.016
633.40	0.018
633.20	0.017
633.00	0.017
632.80	0.019
632.60	0.017
632.40	0.020
632.20	0.019
632.00	0.019
631.80	0.021
631.60	0.018
631.40	0.021
631.20	0.021
631.00	0.020
630.80	0.022
630.60	0.022
630.40	0.021
630.20	0.024
630.00	0.023
629.80	0.023
629.60	0.025
629.40	0.023
629.20	0.025
629.00	0.025
628.80	0.025
628.60	0.027
628.40	0.027
628.20	0.026
628.00	0.029
627.80	0.028
627.60	0.029
627.40	0.030
627.20	0.029
627.00	0.031
626.80	0.031
626.60	0.031
626.40	0.033
626.20	0.032
626.00	0.032
625.80	0.035
625.60	0.033
625.40	0.035
625.20	0.035
625.00	0.036
624.80	0.038
624.60	0.036
624.40	0.038
624.20	0.039
624.00	0.039
623.80	0.041
623.60	0.040
623.40	0.043
623.20	0.042
623.00	0.042
622.80	0.046
622.60	0.045
622.40	0.045
622.20	0.048
622.00	0.048
621.80	0.049
621.60	0.050
621.40	0.050
621.20	0.052
621.00	0.052
620.80	0.053
620.60	0.056
620.40	0.055
620.20	0.056
620.00	0.058
619.80	0.059
619.60	0.060
619.40	0.061
619.20	0.062
619.00	0.065
618.80	0.064
618.60	0.066
618.40	0.069
618.20	0.067
618.00	0.070
617.80	0.072
617.60	0.072
617.40	0.074
617.20	0.075
617.00	0.077
616.80	0.078
616.60	0.078
616.40	0.081
616.20	0.082
616.00	0.083
615.80	0.086
615.60	0.086
615.40	0.089
615.20	0.089
615.00	0.091
614.80	0.093
614.60	0.094
614.40	0.096
614.20	0.098
614.00	0.099
613.80	0.100
613.60	0.103
613.40	0.103
613.20	0.106
613.00	0.107
612.80	0.109
612.60	0.112
612.40	0.111
612.20	0.115
612.00	0.116
611.80	0.117
611.60	0.121
611.40	0.120
611.20	0.124
611.00	0.126
610.80	0.126
610.60	0.130
610.40	0.131
610.20	0.132
610.00	0.136
609.80	0.136
609.60	0.139
609.40	0.141
609.20	0.141
609.00	0.145
608.80	0.147
608.60	0.148
608.40	0.152
608.20	0.152
608.00	0.156
607.80	0.158
607.60	0.158
607.40	0.162
607.20	0.163
607.00	0.165
606.80	0.168
606.60	0.170
606.40	0.171
606.20	0.174
606.00	0.176
605.80	0.178
605.60	0.179
605.40	0.182
605.20	0.185
605.00	0.185
604.80	0.188
604.60	0.191
604.40	0.191
604.20	0.195
604.00	0.195
603.80	0.198
603.60	0.199
603.40	0.201
603.20	0.204
603.00	0.205
602.80	0.207
602.60	0.209
602.40	0.211
602.20	0.213
602.00	0.214
601.80	0.217
601.60	0.216
601.40	0.220
601.20	0.221
601.00	0.222
600.80	0.226
600.60	0.226
600.40	0.228
600.20	0.230
600.00	0.231
599.80	0.233
599.60	0.234
599.40	0.235
599.20	0.238
599.00	0.238
598.80	0.239
598.60	0.243
598.40	0.241
598.20	0.244
598.00	0.246
597.80	0.246
597.60	0.248
597.40	0.248
597.20	0.250
597.00	0.251
596.80	0.251
596.60	0.253
596.40	0.253
596.20	0.255
596.00	0.256
595.80	0.256
595.60	0.257
595.40	0.258
595.20	0.258
